DateTime_utc,Profile_ID,Distance_to_CRNS_m,Profile_Depth_cm,SoilMoisture_g_g,DryBulkDensity_g_cm3,SoilOrganicCarbon_g_g,LatticeWater_g_g
17.01.2014 12:00,18,200,27.5,5.958571429,0.142602829,0.010661402,0.000664011
17.11.2014 12:00,19,25,2.5,0.245805539,1.007794564,0.059544427,0.003303205
17.11.2014 12:00,19,25,7.5,0.078312819,1.41512936,0.023312616,0.002656085
17.11.2014 12:00,19,25,12.5,0.078060238,1.474513252,0.018083252,0.000672043
17.11.2014 12:00,19,25,17.5,0.072518854,1.688315636,0.014680421,0.000662691
17.11.2014 12:00,19,25,22.5,0.072316688,1.515562495,0.015231865,0
17.11.2014 12:00,19,25,27.5,0.079682047,1.576168697,0.010661402,0.000664011
17.11.2014 12:00,20,75,2.5,1.827720207,0.235905823,0.059544427,0.003303205
17.11.2014 12:00,20,75,7.5,1.402205882,0.277056925,0.023312616,0.002656085
17.11.2014 12:00,20,75,12.5,1.31825,0.407436654,0.018083252,0.000672043
17.11.2014 12:00,20,75,17.5,1.234583762,0.396435865,0.014680421,0.000662691
17.11.2014 12:00,20,75,22.5,1.16492845,0.419965331,0.015231865,0
17.11.2014 12:00,20,75,27.5,1.356493854,0.38115699,0.010661402,0.000664011
17.11.2014 12:00,21,200,2.5,2.540168664,0.229488696,0.059544427,0.003303205
17.11.2014 12:00,21,200,7.5,1.635091496,0.378508652,0.023312616,0.002656085
17.11.2014 12:00,21,200,12.5,1.598123102,0.36903575,0.018083252,0.000672043
17.11.2014 12:00,21,200,17.5,2.72195122,0.250573542,0.014680421,0.000662691
17.11.2014 12:00,21,200,22.5,5.666666667,0.146371618,0.015231865,0
17.11.2014 12:00,21,200,27.5,6.319659443,0.131602039,0.010661402,0.000664011
17.11.2014 12:00,22,25,2.5,0.173324742,0.790427109,0.059544427,0.003303205
17.11.2014 12:00,22,25,7.5,0.109526726,1.164352099,0.023312616,0.002656085
17.11.2014 12:00,22,25,12.5,0.050990197,1.548157427,0.018083252,0.000672043
17.11.2014 12:00,22,25,17.5,0.063172535,1.391498034,0.014680421,0.000662691
17.11.2014 12:00,22,25,22.5,0.060321808,1.487653084,0.015231865,0
17.11.2014 12:00,22,25,27.5,0.067272727,1.344540959,0.010661402,0.000664011
17.11.2014 12:00,23,75,2.5,0.276523702,1.082966627,0.059544427,0.003303205
17.11.2014 12:00,23,75,7.5,0.172182344,1.092643248,0.023312616,0.002656085
17.11.2014 12:00,23,75,12.5,0.150479616,1.189307594,0.018083252,0.000672043
17.11.2014 12:00,23,75,17.5,0.199674908,1.190631763,0.014680421,0.000662691
17.11.2014 12:00,23,75,22.5,0.192554343,1.223022977,0.015231865,0
17.11.2014 12:00,23,75,27.5,0.125019632,1.297074589,0.010661402,0.000664011
17.11.2014 12:00,24,200,2.5,1.989887203,0.26187991,0.059544427,0.003303205
17.11.2014 12:00,24,200,7.5,1.701431493,0.298854786,0.023312616,0.002656085
17.11.2014 12:00,24,200,12.5,1.623015873,0.359359129,0.018083252,0.000672043
17.11.2014 12:00,24,200,17.5,1.569336779,0.354775467,0.014680421,0.000662691
17.11.2014 12:00,24,200,22.5,1.961271465,0.278788531,0.015231865,0
17.11.2014 12:00,24,200,27.5,2.76767222,0.226229202,0.010661402,0.000664011
17.11.2014 12:00,25,25,2.5,0.210700331,0.677770874,0.059544427,0.003303205
17.11.2014 12:00,25,25,7.5,0.065386009,1.405147162,0.023312616,0.002656085
17.11.2014 12:00,25,25,12.5,0.057603687,1.458826941,0.018083252,0.000672043
17.11.2014 12:00,25,25,17.5,0.047878955,1.474309534,0.014680421,0.000662691
17.11.2014 12:00,25,25,22.5,0.046081025,1.463308744,0.015231865,0
17.11.2014 12:00,25,25,27.5,0.045532752,1.657656028,0.010661402,0.000664011
17.11.2014 12:00,26,75,2.5,0.260526608,0.916834331,0.059544427,0.003303205
17.11.2014 12:00,26,75,7.5,0.097987439,1.4272506,0.023312616,0.002656085
17.11.2014 12:00,26,75,12.5,0.072066202,1.563232583,0.018083252,0.000672043
17.11.2014 12:00,26,75,17.5,0.071765686,1.467586829,0.014680421,0.000662691
17.11.2014 12:00,26,75,22.5,0.060014255,1.429084065,0.015231865,0
17.11.2014 12:00,26,75,27.5,0.058979253,1.654498394,0.010661402,0.000664011
17.11.2014 12:00,27,200,2.5,0.215674092,1.147647196,0.059544427,0.003303205
17.11.2014 12:00,27,200,7.5,0.110268083,1.208253398,0.023312616,0.002656085
17.11.2014 12:00,27,200,12.5,0.09359339,1.504052409,0.018083252,0.000672043
17.11.2014 12:00,27,200,17.5,0.07875444,1.347698593,0.014680421,0.000662691
17.11.2014 12:00,27,200,22.5,0.073996059,1.49906131,0.015231865,0
17.11.2014 12:00,27,200,27.5,0.077203342,1.621496025,0.010661402,0.000664011
17.11.2014 12:00,28,25,2.5,0.201550388,1.077466232,0.059544427,0.003303205
17.11.2014 12:00,28,25,7.5,0.03057046,1.442733193,0.023312616,0.002656085
17.11.2014 12:00,28,25,12.5,0.03024989,1.626385265,0.018083252,0.000672043
17.11.2014 12:00,28,25,17.5,0.034473508,1.518720129,0.014680421,0.000662691
17.11.2014 12:00,28,25,22.5,0.041083162,1.534712018,0.015231865,0
17.11.2014 12:00,28,25,27.5,0.038353487,1.667841944,0.010661402,0.000664011
17.11.2014 12:00,29,75,2.5,0.232684571,0.936798727,0.059544427,0.003303205
17.11.2014 12:00,29,75,7.5,0.07364486,1.362366313,0.023312616,0.002656085
17.11.2014 12:00,29,75,12.5,0.064669945,1.367153694,0.018083252,0.000672043
17.11.2014 12:00,29,75,17.5,0.068379698,1.438964404,0.014680421,0.000662691
17.11.2014 12:00,29,75,22.5,0.068557071,1.418898149,0.015231865,0
17.11.2014 12:00,29,75,27.5,0.068505041,1.525544693,0.010661402,0.000664011
17.11.2014 12:00,30,200,2.5,2.329268293,0.283983348,0.059544427,0.003303205
17.11.2014 12:00,30,200,7.5,1.880156472,0.286427968,0.023312616,0.002656085
17.11.2014 12:00,30,200,12.5,2.210119466,0.28989118,0.018083252,0.000672043
17.11.2014 12:00,30,200,17.5,2.769462366,0.236822555,0.014680421,0.000662691
17.11.2014 12:00,30,200,22.5,3.640189686,0.171836409,0.015231865,0
17.11.2014 12:00,30,200,27.5,4.079896907,0.158085422,0.010661402,0.000664011
17.11.2014 12:00,31,25,2.5,0.191732283,0.776166826,0.059544427,0.003303205
17.11.2014 12:00,31,25,7.5,0.106758439,1.391090597,0.023312616,0.002656085
17.11.2014 12:00,31,25,12.5,0.059176439,1.494070211,0.018083252,0.000672043
17.11.2014 12:00,31,25,17.5,0.048536569,1.527785595,0.014680421,0.000662691
17.11.2014 12:00,31,25,22.5,0.047868977,1.610800813,0.015231865,0
17.11.2014 12:00,31,25,27.5,0.047817642,1.782942799,0.010661402,0.000664011
17.11.2014 12:00,32,75,2.5,0.458119658,0.536288496,0.059544427,0.003303205
17.11.2014 12:00,32,75,7.5,0.20262839,1.092846966,0.023312616,0.002656085
17.11.2014 12:00,32,75,12.5,0.061426642,1.583604416,0.018083252,0.000672043
17.11.2014 12:00,32,75,17.5,0.038306322,1.590123403,0.014680421,0.000662691
17.11.2014 12:00,32,75,22.5,0.041186551,1.723762625,0.015231865,0
17.11.2014 12:00,32,75,27.5,0.035028184,1.770923418,0.010661402,0.000664011
17.11.2014 12:00,33,200,2.5,0.841641741,0.612988446,0.059544427,0.003303205
17.11.2014 12:00,33,200,7.5,0.613147914,0.725135386,0.023312616,0.002656085
17.11.2014 12:00,33,200,12.5,0.465201915,0.829846606,0.018083252,0.000672043
17.11.2014 12:00,33,200,17.5,0.422789866,0.968986223,0.014680421,0.000662691
17.11.2014 12:00,33,200,22.5,0.505079479,0.852255622,0.015231865,0
17.11.2014 12:00,33,200,27.5,0.662024269,0.738682654,0.010661402,0.000664011
17.11.2014 12:00,34,25,2.5,0.259382819,0.732774823,0.059544427,0.003303205
17.11.2014 12:00,34,25,7.5,0.075317735,1.410545697,0.023312616,0.002656085
17.11.2014 12:00,34,25,12.5,0.055180511,1.388136681,0.018083252,0.000672043
17.11.2014 12:00,34,25,17.5,0.051222736,1.541129145,0.014680421,0.000662691
17.11.2014 12:00,34,25,22.5,0.060512081,1.412277303,0.015231865,0
17.11.2014 12:00,34,25,27.5,0.050216063,1.367153694,0.010661402,0.000664011
17.11.2014 12:00,35,75,2.5,0.153846154,1.09111536,0.059544427,0.003303205
17.11.2014 12:00,35,75,7.5,0.132343901,1.159870296,0.023312616,0.002656085
17.11.2014 12:00,35,75,12.5,0.086631095,1.374487553,0.018083252,0.000672043
17.11.2014 12:00,35,75,17.5,0.082113667,1.607643179,0.014680421,0.000662691
17.11.2014 12:00,35,75,22.5,0.062901891,1.599901882,0.015231865,0
17.11.2014 12:00,35,75,27.5,0.063374213,1.536545483,0.010661402,0.000664011
17.11.2014 12:00,36,200,2.5,1.987284768,0.384518343,0.059544427,0.003303205
17.11.2014 12:00,36,200,7.5,1.624575163,0.389611301,0.023312616,0.002656085
17.11.2014 12:00,36,200,12.5,1.404884319,0.396232146,0.018083252,0.000672043
17.11.2014 12:00,36,200,17.5,2.890796202,0.27889039,0.014680421,0.000662691
17.11.2014 12:00,36,200,22.5,3.918584071,0.172651282,0.015231865,0
17.11.2014 12:00,36,200,27.5,4.845593108,0.153705478,0.010661402,0.000664011
